,mode,minfun,maxdom,Q25,Q75,IQR,meanfun,median,skew,label,,,,,,,,,
0,0,0.015701668,0.0078125,0.015071489,0.09019344,0.075121951,0.084279106,0.032026913,12.86346184,male,,,,,,,,,
1,0,0.015825915,0.0546875,0.019413867,0.09266619,0.073252323,0.107936554,0.040228735,22.42328536,male,,,,,,,,,
2,0,0.015655577,0.015625,0.008701057,0.131908017,0.123206961,0.098706262,0.036718459,30.75715458,male,,,,,,,,,
3,0.083878185,0.017797553,0.5625,0.096581728,0.207955252,0.111373524,0.088964849,0.158011187,1.232831276,male,,,,,,,,,
4,0.104261402,0.016931217,5.484375,0.078720218,0.206044929,0.127324711,0.106397845,0.124656229,1.101173666,male,,,,,,,,,
5,0.112555426,0.017112299,2.7265625,0.067957993,0.209591599,0.141633606,0.11013192,0.119089848,1.932562432,male,,,,,,,,,
6,0.086196809,0.026229508,5.3125,0.092898936,0.205718085,0.112819149,0.105944515,0.160106383,1.530643231,male,,,,,,,,,
7,0.128324067,0.017758047,0.5390625,0.110532168,0.231961875,0.121429706,0.09305243,0.144336775,1.397156365,male,,,,,,,,,
8,0.219103139,0.017957351,2.1640625,0.088206278,0.208587444,0.120381166,0.096728946,0.138587444,1.099746151,male,,,,,,,,,
9,0.011698736,0.019300362,4.6953125,0.075579989,0.201957119,0.12637713,0.105880926,0.121451347,1.190368444,male,,,,,,,,,
10,0.096358437,0.022068966,2.8125,0.101429933,0.216739752,0.115309819,0.088893983,0.168160153,0.979442275,male,,,,,,,,,
11,0.012101064,0.019138756,2.71875,0.08731383,0.202739362,0.115425532,0.104199319,0.127526596,1.626769867,male,,,,,,,,,
12,0.108434048,0.016789087,5.015625,0.083144899,0.209226771,0.126081871,0.092644019,0.124262508,1.378728204,male,,,,,,,,,
13,0.21982669,0.025,2.8046875,0.128838821,0.229532062,0.100693241,0.131503722,0.190953206,1.369430458,male,,,,,,,,,
14,0.049987294,0.020833333,6.7421875,0.129148666,0.240152478,0.111003812,0.102798695,0.191232529,3.568104024,male,,,,,,,,,
15,0.050027488,0.018327606,7,0.115601979,0.228279274,0.112677295,0.102045991,0.190874107,4.48503835,male,,,,,,,,,
16,0.05012934,0.01754386,6.3203125,0.132280463,0.244356705,0.112076242,0.113322801,0.207950987,1.562303683,male,,,,,,,,,
17,0.05995842,0.015670911,0.5703125,0.122390852,0.243617464,0.121226611,0.079718312,0.152806653,3.207169827,male,,,,,,,,,
18,0.060032985,0.015717092,3.125,0.11575591,0.239824079,0.124068169,0.083484022,0.145618472,2.704334729,male,,,,,,,,,
19,0.060026798,0.015701668,2.8203125,0.123680214,0.244234033,0.120553819,0.090129539,0.153568557,2.804974885,male,,,,,,,,,
20,0.059953326,0.015763547,0.71875,0.120070012,0.245367561,0.12529755,0.093573513,0.177736289,2.967765093,male,,,,,,,,,
21,0.05995685,0.016145308,3.6953125,0.128673139,0.254174757,0.125501618,0.09864341,0.169298813,2.587324534,male,,,,,,,,,
22,0.059941349,0.015686275,0.4453125,0.113929619,0.22744868,0.113519062,0.062541644,0.145542522,3.58764999,male,,,,,,,,,
23,0.059944212,0.015701668,0.5625,0.123988842,0.250125523,0.126136681,0.077698415,0.146052999,2.816792918,male,,,,,,,,,
24,0.060078309,0.016096579,3.953125,0.120924041,0.23724354,0.116319499,0.098944146,0.144823806,6.253208252,male,,,,,,,,,
25,0.05996482,0.015640274,1.0625,0.118698329,0.240474934,0.121776605,0.082962611,0.14701847,4.208608405,male,,,,,,,,,
26,0.05996587,0.01621074,3.609375,0.116706485,0.238549488,0.121843003,0.082451321,0.186467577,4.269922678,male,,,,,,,,,
27,0.128147527,0.015841584,0.7109375,0.125800503,0.248315172,0.122514669,0.130598328,0.143168483,3.079273395,male,,,,,,,,,
28,0.134782609,0.016243655,0.6796875,0.122173913,0.24,0.117826087,0.120052184,0.14173913,2.192126246,male,,,,,,,,,
29,0.133577982,0.017039404,0.5078125,0.129541284,0.252477064,0.12293578,0.126607441,0.142385321,2.799968944,male,,,,,,,,,
30,0.216774194,0.016260163,1.0234375,0.092731183,0.214365591,0.121634409,0.067407499,0.158064516,0.885701648,male,,,,,,,,,
31,0.127019868,0.017278618,0.6328125,0.122075055,0.245077263,0.123002208,0.127719891,0.142781457,3.281847964,male,,,,,,,,,
32,0.134411178,0.016563147,0.6484375,0.131057884,0.256526946,0.125469062,0.132726096,0.144191617,3.736487284,male,,,,,,,,,
33,0.12,0.016753927,4.171875,0.123529412,0.247058824,0.123529412,0.124684802,0.146470588,2.576732042,male,,,,,,,,,
34,0.133211009,0.016343207,0.6328125,0.127706422,0.252844037,0.125137615,0.124533186,0.140183486,3.263039755,male,,,,,,,,,
35,0.133636364,0.018411968,2.609375,0.121398601,0.239370629,0.117972028,0.120254421,0.146853147,1.993500516,male,,,,,,,,,
36,0.134506089,0.016614746,0.6015625,0.136021651,0.209526387,0.073504736,0.142748251,0.157239513,1.93606513,male,,,,,,,,,
37,0.135912409,0.121212121,0.5546875,0.132846715,0.252408759,0.119562044,0.138903871,0.145620438,4.504440541,male,,,,,,,,,
38,0.137555297,0.016771488,0.6875,0.134295693,0.206984866,0.072689173,0.131376326,0.142770664,4.344838338,male,,,,,,,,,
39,0.132358674,0.016161616,0.9140625,0.128810916,0.24588694,0.117076023,0.127529186,0.146003899,2.745951338,male,,,,,,,,,
40,0.137067494,0.015841584,0.6953125,0.131202483,0.246113266,0.114910784,0.141183375,0.145321955,2.930439972,male,,,,,,,,,
41,0.121292728,0.015936255,4.1796875,0.097103791,0.213349907,0.116246116,0.081563761,0.12146675,2.603394147,male,,,,,,,,,
42,0.121391036,0.015640274,2.8203125,0.116846986,0.229582689,0.112735703,0.101681481,0.160123648,2.117203042,male,,,,,,,,,
43,0.121321474,0.015920398,4.7265625,0.099085133,0.211512071,0.112426938,0.095597118,0.145158831,2.352593909,male,,,,,,,,,
44,0.121319648,0.016,0.625,0.115982405,0.228064516,0.112082111,0.101718928,0.167917889,2.319626258,male,,,,,,,,,
45,0.121286633,0.015810277,5.2265625,0.094867763,0.200343102,0.10547534,0.097531607,0.129892781,3.268474946,male,,,,,,,,,
46,0.121213536,0.016064257,1.3359375,0.111085181,0.22445741,0.113372229,0.080459827,0.133302217,3.019164195,male,,,,,,,,,
47,0.121278385,0.016276704,0.671875,0.110681245,0.227485282,0.116804037,0.055565349,0.14412111,1.699528754,male,,,,,,,,,
48,0.121225323,0.015779093,6.8828125,0.104452008,0.219196732,0.114744724,0.101394916,0.161061947,1.939662533,male,,,,,,,,,
49,0.059926199,0.01621074,4.6640625,0.086531365,0.200701107,0.114169742,0.076307418,0.119852399,2.010993302,male,,,,,,,,,
50,0.060197239,0.018735363,4.6640625,0.088915187,0.206272189,0.117357002,0.098872557,0.127850099,1.55226944,male,,,,,,,,,
51,0.102603461,0.017241379,4.4453125,0.087644846,0.200361174,0.112716328,0.090751058,0.112927013,3.421779437,male,,,,,,,,,
52,0.060127065,0.021798365,5.15625,0.090724269,0.201194409,0.11047014,0.10139476,0.124879288,2.264114987,male,,,,,,,,,
53,0.060045147,0.026711185,5.828125,0.090594432,0.202046652,0.11145222,0.109319559,0.13420617,2.052550657,male,,,,,,,,,
54,0.060050463,0.024729521,2.703125,0.102439024,0.219478553,0.117039529,0.11225641,0.144592094,1.75889252,male,,,,,,,,,
55,0.059941349,0.015670911,5.4296875,0.087859238,0.211847507,0.12398827,0.103669506,0.137947214,2.111480565,male,,,,,,,,,
56,0.059951338,0.021276596,4.9921875,0.090608273,0.207615572,0.117007299,0.10324956,0.135571776,2.797501935,male,,,,,,,,,
57,0.117903514,0.020356234,3.7265625,0.030684932,0.215294818,0.184609887,0.130887525,0.118237046,2.062324056,male,,,,,,,,,
58,0.114811715,0.060836502,4.296875,0.049986053,0.228842399,0.178856346,0.134314213,0.126722455,1.388276328,male,,,,,,,,,
59,0.011654965,0.015936255,4.34375,0.044092277,0.144353059,0.100260782,0.117359321,0.081725176,0.529583803,male,,,,,,,,,
60,0.111873589,0.024390244,4.296875,0.057306245,0.201414597,0.144108352,0.114742726,0.114191121,2.377389656,male,,,,,,,,,
61,0.106442389,0.033333333,4.5625,0.101732548,0.211236333,0.109503785,0.120815369,0.123868797,1.793199734,male,,,,,,,,,
62,0.113090024,0.02725724,4.5703125,0.09622871,0.232652068,0.136423358,0.110260303,0.125352798,1.936126532,male,,,,,,,,,
63,0.115893437,0.015686275,4.9765625,0.088966862,0.233788174,0.144821313,0.103803137,0.129720598,1.458798837,male,,,,,,,,,
64,0.268978444,0.016528926,4.578125,0.112314902,0.249428304,0.137113402,0.117022269,0.143149016,1.578563282,male,,,,,,,,,
65,0.112480343,0.054054054,2.71875,0.09807005,0.228162974,0.130092924,0.131733573,0.129292352,1.831167575,male,,,,,,,,,
66,0.109394619,0.018867925,4.0625,0.097152466,0.222242152,0.125089686,0.117297836,0.124304933,1.724297837,male,,,,,,,,,
67,0.16619001,0.016032064,6.921875,0.135475024,0.18072478,0.045249755,0.141810406,0.161802155,3.961908362,male,,,,,,,,,
68,0.166890244,0.015952144,6.5703125,0.12847561,0.190365854,0.061890244,0.121546254,0.163262195,1.919229523,male,,,,,,,,,
69,0.165265039,0.016161616,5.140625,0.146420488,0.216628946,0.070208457,0.130983328,0.176771888,1.60173918,male,,,,,,,,,
70,0.126838922,0.018539977,6.84375,0.125607477,0.200879604,0.075272128,0.132089064,0.15993403,2.531500396,male,,,,,,,,,
71,0.129557838,0.026186579,0.6796875,0.125556052,0.233479232,0.10792318,0.132075365,0.14869138,2.789593353,male,,,,,,,,,
72,0.09225677,0.020833333,5.203125,0.107562688,0.220742227,0.113179539,0.102626438,0.181705115,1.870943526,male,,,,,,,,,
73,0,0.015763547,5.59375,0.185332212,0.236198486,0.050866274,0.165155381,0.210058873,1.840901444,male,,,,,,,,,
74,0.084260186,0.016666667,2.171875,0.085060758,0.197140815,0.112080057,0.081164739,0.102873481,4.07821686,male,,,,,,,,,
75,0,0.021136063,6.71875,0.156899619,0.220584498,0.063684879,0.152012545,0.191410419,1.461858806,male,,,,,,,,,
76,0.16619018,0.016684046,6.640625,0.14304537,0.24763207,0.1045867,0.138197601,0.176109385,1.411153314,male,,,,,,,,,
77,0,0.018518519,7,0.150900243,0.226350365,0.075450122,0.13371745,0.183430657,1.588013858,male,,,,,,,,,
78,0.24064324,0.020100503,6.390625,0.166599166,0.243478261,0.076879095,0.159106931,0.210792138,2.926780705,male,,,,,,,,,
79,0,0.019900498,6.5625,0.148266004,0.215090118,0.066824114,0.149386704,0.173151025,1.759852944,male,,,,,,,,,
80,0,0.02507837,6.7265625,0.133773825,0.238551461,0.104777637,0.139378258,0.189809403,1.661060846,male,,,,,,,,,
81,0.185474453,0.019900498,6.8203125,0.152603406,0.209489051,0.056885645,0.147350977,0.176618005,1.628578866,male,,,,,,,,,
82,0,0.01814059,6.59375,0.156131203,0.248444071,0.092312868,0.168037876,0.204407065,1.197040616,male,,,,,,,,,
83,0.090011669,0.015717092,0.4296875,0.139673279,0.235239207,0.095565928,0.080595084,0.208774796,6.995045482,male,,,,,,,,,
84,0.090011669,0.015810277,0.375,0.154049008,0.239323221,0.085274212,0.081017495,0.203383897,4.038263467,male,,,,,,,,,
85,0.09005848,0.016243655,0.65625,0.153190383,0.228693957,0.075503574,0.065827449,0.202495127,4.196509548,male,,,,,,,,,
86,0.089971412,0.015732547,0.65625,0.149365352,0.242858776,0.093493425,0.078362852,0.206197827,5.251239064,male,,,,,,,,,
87,0.090089686,0.015670911,0.3671875,0.148161435,0.242331839,0.094170404,0.06347518,0.208430493,6.983667487,male,,,,,,,,,
88,0.089965963,0.016260163,1.984375,0.152484683,0.241116406,0.088631722,0.083127893,0.202232811,4.057908575,male,,,,,,,,,
89,0.090130719,0.016145308,3.2421875,0.16379085,0.235620915,0.071830065,0.081504732,0.201535948,5.417712763,male,,,,,,,,,
90,0.090117302,0.017679558,2.0703125,0.155806452,0.236891496,0.081085044,0.112022748,0.214516129,3.844959386,male,,,,,,,,,
91,0.090117302,0.017897092,0.421875,0.159706745,0.241612903,0.081906158,0.072135733,0.210615836,6.230334767,male,,,,,,,,,
92,0.090097324,0.015794669,0.3828125,0.162992701,0.257518248,0.094525547,0.073051326,0.218515815,3.957725499,male,,,,,,,,,
93,0,0.015640274,0.0078125,0.046735294,0.196823529,0.150088235,0.091146586,0.111176471,23.53806144,male,,,,,,,,,
94,0,0.016129032,0.0078125,0.022764228,0.188242652,0.165478424,0.087918173,0.102789243,27.95290068,male,,,,,,,,,
95,0,0.016,0.0078125,0.025163747,0.188941356,0.163777609,0.075906856,0.10278751,24.7051185,male,,,,,,,,,
96,0,0.016359918,0.0078125,0.045520231,0.200086705,0.154566474,0.092960948,0.106213873,26.87967507,male,,,,,,,,,
97,0,0.015810277,0.015625,0.008307155,0.129656777,0.121349622,0.087384208,0.06124491,15.8910016,male,,,,,,,,,
98,0,0.016614746,0.0078125,0.082282939,0.204857316,0.122574378,0.090380442,0.116964177,27.7051186,male,,,,,,,,,
99,0,0.016393443,0.0234375,0.017591623,0.173167539,0.155575916,0.100796329,0.086858639,20.30714636,male,,,,,,,,,
100,0,0.015794669,0.0078125,0.060215054,0.192688172,0.132473118,0.081201173,0.109892473,22.40086595,male,,,,,,,,,
101,0,0.015794669,0.0078125,0.01408805,0.191949686,0.177861635,0.094922696,0.10067086,23.86044523,male,,,,,,,,,
102,0,0.01760176,0.0078125,0.02920078,0.176842105,0.147641326,0.081574582,0.098245614,22.64938378,male,,,,,,,,,
103,0.133934142,0.017410229,0.8359375,0.124471404,0.242634315,0.118162912,0.110565779,0.140970537,2.384671522,male,,,,,,,,,
104,0.116846986,0.015655577,0.6640625,0.111653787,0.22698609,0.115332303,0.10184148,0.149953632,1.801983649,male,,,,,,,,,
105,0.096872812,0.019900498,6.4296875,0.098833139,0.211225204,0.112392065,0.097513464,0.173488915,2.67033497,male,,,,,,,,,
106,0.14162015,0.016494845,3.3203125,0.118938053,0.229108237,0.110170184,0.126955523,0.148100749,1.764015844,male,,,,,,,,,
107,0.130887574,0.017660044,2.578125,0.12122288,0.246311637,0.125088757,0.111031616,0.163195266,1.85887734,male,,,,,,,,,
108,0.113089245,0.017075774,0.3515625,0.125583524,0.230022883,0.104439359,0.128124206,0.161784897,1.730253106,male,,,,,,,,,
109,0.126414709,0.026666667,5.84375,0.126414709,0.247681307,0.121266599,0.125992936,0.164453524,2.141880482,male,,,,,,,,,
110,0.114116445,0.017429194,0.4453125,0.120122574,0.229090909,0.108968335,0.113943951,0.149581205,1.762844907,male,,,,,,,,,
111,0.126613047,0.01843318,5.796875,0.117104558,0.241215371,0.124110813,0.110460819,0.166648794,2.156018347,male,,,,,,,,,
112,0.108561817,0.016194332,0.4375,0.116568545,0.23078217,0.114213625,0.111528406,0.145769554,2.009765771,male,,,,,,,,,
113,0.120476758,0.023255814,5.59375,0.115804529,0.239284863,0.123480334,0.111090258,0.14283671,2.038744662,male,,,,,,,,,
114,0,0.01871345,0.0078125,0.025100464,0.217032457,0.191931994,0.107764608,0.135239567,27.79818155,male,,,,,,,,,
115,0,0.016684046,0.0078125,0.025805085,0.166101695,0.14029661,0.100032404,0.131991525,23.35982846,male,,,,,,,,,
116,0,0.015810277,0.015625,0.024020797,0.159410745,0.135389948,0.132118679,0.114280763,24.17367566,male,,,,,,,,,
117,0,0.02,0.0078125,0.09729636,0.176880416,0.079584055,0.093611219,0.149948007,25.39335957,male,,,,,,,,,
118,0,0.02,0.4453125,0.043431022,0.17652609,0.133095068,0.104771576,0.140900643,28.38535483,male,,,,,,,,,
119,0,0.017957351,0.0078125,0.028873484,0.172512998,0.143639515,0.10776458,0.095355286,23.98783876,male,,,,,,,,,
120,0.060045147,0.016343207,0.0703125,0.095440181,0.226907449,0.131467269,0.086093777,0.175711061,18.84960322,male,,,,,,,,,
121,0.060038986,0.016293279,0.7109375,0.107888239,0.226692658,0.118804418,0.072395615,0.191033138,12.56854236,male,,,,,,,,,
122,0.060053619,0.019900498,0.5078125,0.095335121,0.235960679,0.140625559,0.082758199,0.173655049,17.57440469,male,,,,,,,,,
123,0.060057197,0.018454441,0.0703125,0.089418494,0.239428027,0.150009533,0.057045239,0.172964728,17.75014606,male,,,,,,,,,
124,0.060050463,0.016326531,0.25,0.097022708,0.240908326,0.143885618,0.075929274,0.184861228,15.81225162,male,,,,,,,,,
125,0.059944212,0.015888779,0.2109375,0.09762901,0.231771269,0.134142259,0.081219208,0.17944212,17.94848782,male,,,,,,,,,
126,0.060121655,0.016177958,3.1640625,0.097420925,0.22703163,0.129610706,0.081858264,0.182238443,15.48038791,male,,,,,,,,,
127,0.060211864,0.016227181,0.0703125,0.0875,0.240847458,0.153347458,0.060965707,0.172627119,15.86218362,male,,,,,,,,,
128,0.060061287,0.016326531,0.2734375,0.101818182,0.225658836,0.123840654,0.075177599,0.178467824,12.38536886,male,,,,,,,,,
129,0.060197239,0.015968064,0.2421875,0.093609467,0.227534517,0.133925049,0.074280664,0.165680473,16.49595499,male,,,,,,,,,
130,0.222473404,0.018669778,4.2890625,0.155452128,0.242579787,0.08712766,0.116122398,0.220239362,1.743361403,male,,,,,,,,,
131,0.230470518,0.022130014,6.25,0.175270995,0.249815366,0.074544372,0.115129092,0.226468136,2.08208152,male,,,,,,,,,
132,0.239041614,0.027027027,6.453125,0.175014712,0.254577554,0.079562842,0.124133328,0.236923077,2.156406936,male,,,,,,,,,
133,0.248583618,0.023916293,5.203125,0.160665529,0.25383959,0.093174061,0.123413774,0.232935154,2.284524448,male,,,,,,,,,
134,0.238170122,0.031683168,6.03125,0.164117227,0.244374553,0.080257327,0.130055059,0.22656183,2.907052707,male,,,,,,,,,
135,0.012716569,0.01891253,0.984375,0.030849453,0.181093356,0.150243902,0.102113993,0.10079058,2.029541637,male,,,,,,,,,
136,0.006671205,0.018691589,0.640625,0.040789653,0.187556161,0.146766508,0.103532714,0.099496256,1.885670842,male,,,,,,,,,
137,0.003351064,0.018979834,3.140625,0.043191489,0.187287234,0.144095745,0.094652835,0.102393617,1.701253766,male,,,,,,,,,
138,0.005212766,0.02124834,4.2890625,0.014148936,0.130319149,0.116170213,0.109042884,0.06962766,2.883271184,male,,,,,,,,,
139,0.0979793,0.016309888,4.3359375,0.050231641,0.188920651,0.138689009,0.097562195,0.102809266,2.053250584,male,,,,,,,,,
140,0.00407767,0.019277108,4.5703125,0.043193096,0.181531823,0.138338727,0.099846007,0.104962244,1.398775517,male,,,,,,,,,
141,0.09807784,0.018244014,4.390625,0.053820492,0.189483717,0.135663225,0.104030301,0.103415409,1.98550958,male,,,,,,,,,
142,0.004447268,0.015984016,0.71875,0.028640407,0.179847522,0.151207116,0.076737057,0.091791614,3.258646166,male,,,,,,,,,
143,0.006979472,0.017857143,0.625,0.035102639,0.180234604,0.145131965,0.10164205,0.10058651,2.213992952,male,,,,,,,,,
144,0.009958159,0.015748031,1.640625,0.026945607,0.167726639,0.140781032,0.106525451,0.087670851,2.425280561,male,,,,,,,,,
145,0,0.015763547,0.390625,0.095752742,0.220538385,0.124785643,0.110126869,0.144606181,28.45025021,male,,,,,,,,,
146,0,0.016511868,0.4375,0.068224917,0.222116869,0.153891951,0.105228296,0.134288864,27.28409318,male,,,,,,,,,
147,0,0.015701668,0.5234375,0.017897727,0.190511364,0.172613636,0.101964494,0.078153409,22.78488267,male,,,,,,,,,
148,0.144074844,0.017204301,4.8515625,0.07043659,0.202286902,0.131850312,0.112680601,0.133596674,1.599689882,male,,,,,,,,,
149,0,0.016096579,0.0078125,0.046458519,0.224049955,0.177591436,0.092353505,0.128635147,22.85102818,male,,,,,,,,,
